# HYDROGRAPH FILE
# Filename=unit_sta08055700_1967_0530.dat
# site=08055700 Bachman Branch at Dallas, Texas
# latitude=32()51'37"
# longitude=96()50'13"
# drainage_area(mi2)=10.0
# DATE_TIME=date and time in MM/DD/YYYY@HH:MM
# RUNOFF=runoff in cubic feet per second
# ACCUM_RUNOFF=accumulated runoff in inches
DATE_TIME    HOURS_PASSED    RUNOFF    ACCUM_RUNOFF
05/30/1967@00:00:00    0.0000    1.6000    0.0006
05/30/1967@05:00:00    5.0000    1.1000    0.0011
05/30/1967@06:00:00    6.0000    7.1000    0.0019
05/30/1967@06:31:00    6.5167    39.0000    0.0042
05/30/1967@06:45:00    6.7500    294.0000    0.0323
05/30/1967@07:45:00    7.7500    109.0000    0.0428
05/30/1967@08:00:00    8.0000    392.0000    0.0661
05/30/1967@08:31:00    8.5167    230.0000    0.0839
05/30/1967@09:00:00    9.0000    124.0000    0.0981
05/30/1967@10:00:00    10.0000    41.0000    0.1076
05/30/1967@12:00:00    12.0000    16.0000    0.1126
05/30/1967@14:00:00    14.0000    9.2000    0.1154
05/30/1967@16:00:00    16.0000    4.8000    0.1169
05/30/1967@18:00:00    18.0000    3.1000    0.1188
05/31/1967@00:00:00    24.0000    1.9000    0.1199
05/31/1967@01:00:00    25.0000    5.8000    0.1206
05/31/1967@01:31:00    25.5167    15.0000    0.1214
05/31/1967@01:45:00    25.7500    550.0000    0.1420
05/31/1967@02:00:00    26.0000    719.0000    0.2116
05/31/1967@03:00:00    27.0000    405.0000    0.2591
05/31/1967@03:31:00    27.5167    821.0000    0.3227
05/31/1967@04:00:00    28.0000    575.0000    0.3998
05/31/1967@05:15:00    29.2500    262.0000    0.4353
05/31/1967@05:45:00    29.7500    304.0000    0.4765
05/31/1967@07:00:00    31.0000    135.0000    0.5000
05/31/1967@08:00:00    32.0000    102.0000    0.5158
05/31/1967@09:00:00    33.0000    64.0000    0.5257
05/31/1967@10:00:00    34.0000    37.0000    0.5343
05/31/1967@12:00:00    36.0000    22.0000    0.5428
05/31/1967@15:00:00    39.0000    14.0000    0.5482
05/31/1967@17:00:00    41.0000    11.0000    0.5524
05/31/1967@20:00:00    44.0000    8.8000    0.5572
06/01/1967@00:00:00    48.0000    8.1000    0.5597
