# HYETOGRAPH FILE
# Filename=rain_sta08055700_1966_0617.dat
# site=08055700 Bachman Branch at Dallas, Texas
# latitude=32()51'36"  Location 2
# longitude=96()50'12"  Location 2
# drainage_area(mi2)=10.0
# DATE_TIME=date and time in MM/DD/YYYY@HH:MM
# PRECIP1=Gage 8-W raw recorded precipitation in inches
# PRECIP2=Gage 9-W raw recorded precipitation in inches
# PRECIP3=Gage 1-T raw recorded precipitation in inches
# PRECIP4=Gage 3-T raw recorded precipitation in inches
# PRECIP5=Gage 1-B raw recorded precipitation in inches
# PRECIP6=Gage 2-B raw recorded precipitation in inches
# ACCUM_WTD_PRECIP=weighted cumulative precipitation in inches
DATE_TIME    HOURS_PASSED    PRECIP1    PRECIP2    PRECIP3    PRECIP4    PRECIP5    PRECIP6    ACCUM_WTD_PRECIP
06/17/1966@05:15:00    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
06/17/1966@05:20:00    0.0833    0.0100    0.0100    0.0000    0.0000    0.0000    0.0100    0.0000
06/17/1966@05:25:00    0.1667    0.0100    0.0100    0.0000    0.0000    0.0000    0.0300    0.0100
06/17/1966@05:30:00    0.2500    0.0100    0.0200    0.0000    0.0500    0.0000    0.0800    0.0300
06/17/1966@05:35:00    0.3333    0.0200    0.0200    0.0000    0.1700    0.0100    0.2500    0.1100
06/17/1966@05:40:00    0.4167    0.1000    0.0400    0.0200    0.2700    0.0700    0.3300    0.1700
06/17/1966@05:45:00    0.5000    0.1400    0.1000    0.0900    0.3100    0.2100    0.3900    0.2700
06/17/1966@05:50:00    0.5833    0.2200    0.2000    0.2100    0.3500    0.4600    0.4800    0.4300
06/17/1966@06:00:00    0.7500    0.3100    0.5700    0.3200    0.5000    0.6900    0.6800    0.6200
06/17/1966@06:10:00    0.9167    0.4200    0.8400    0.5200    0.7700    0.8200    0.9600    0.8300
06/17/1966@06:20:00    1.0833    0.5600    1.0900    0.7000    1.0000    0.9900    1.1300    1.0100
06/17/1966@06:30:00    1.2500    0.6500    1.1800    0.8500    1.0300    1.1900    1.1700    1.1400
06/17/1966@06:45:00    1.5000    0.7200    1.3200    0.9400    1.0400    1.2700    1.2000    1.1800
06/17/1966@07:00:00    1.7500    0.7700    1.3600    0.9800    1.0600    1.3100    1.2400    1.2200
06/17/1966@07:15:00    2.0000    0.8200    1.4000    1.0200    1.1100    1.3300    1.2800    1.2400
06/17/1966@07:30:00    2.2500    0.8800    1.4500    1.0800    1.1300    1.3700    1.3300    1.3000
06/17/1966@07:45:00    2.5000    0.9400    1.5000    1.1100    1.1600    1.4000    1.3800    1.3500
06/17/1966@08:00:00    2.7500    1.0200    1.5600    1.1400    1.2300    1.4300    1.4200    1.3900
06/17/1966@08:15:00    3.0000    1.0600    1.6200    1.1700    1.2700    1.4900    1.4500    1.4200
06/17/1966@08:30:00    3.2500    1.1000    1.6600    1.1900    1.2900    1.5100    1.4800    1.4500
06/17/1966@08:45:00    3.5000    1.1200    1.6700    1.2200    1.3100    1.5300    1.5000    1.4700
06/17/1966@09:00:00    3.7500    1.1300    1.6900    1.2300    1.3300    1.5400    1.5100    1.4800
06/17/1966@10:00:00    4.7500    1.1400    1.7100    1.2500    1.3300    1.5400    1.5300    1.5000
06/17/1966@12:10:00    6.9167    1.1400    1.7100    1.3200    1.3400    1.5400    1.5300    1.5000
06/17/1966@12:15:00    7.0000    1.1400    1.7100    1.3300    1.3500    1.6100    1.6300    1.5600
06/17/1966@12:20:00    7.0833    1.1400    2.0000    1.3700    1.3900    1.7400    1.7100    1.6700
06/17/1966@12:25:00    7.1667    1.2600    2.1000    1.4200    1.4600    1.8700    1.7800    1.7500
06/17/1966@12:30:00    7.2500    1.2700    2.1700    1.4800    1.5000    1.9900    1.8400    1.8300
06/17/1966@12:45:00    7.5000    1.3600    2.3000    1.4900    1.5100    2.0000    1.8500    1.8500
06/17/1966@14:30:00    9.2500    1.4000    2.3000    1.5000    1.5200    2.0000    1.8500    1.8500
