# HYETOGRAPH FILE
# Filename=rain_sta08055700_1974_0607.dat
# site=08055700 Bachman Branch at Dallas, Texas
# latitude=32()51'37"  Location 4
# longitude=96()51'13"  Location 4
# drainage_area(mi2)=10.0
# DATE_TIME=date and time in MM/DD/YYYY@HH:MM
# PRECIP1=Gage 1-B raw recorded precipitation in inches
# PRECIP2=Gage 2-B raw recorded precipitation in inches
# ACCUM_WTD_PRECIP=weighted cumulative precipitation in inches
DATE_TIME    HOURS_PASSED    PRECIP1    PRECIP2    ACCUM_WTD_PRECIP
06/07/1974@08:15:00    0.0000    0.0000    0.0000    0.0000
06/07/1974@08:30:00    0.2500    0.2600    0.0200    0.1400
06/07/1974@08:45:00    0.5000    0.8300    0.3800    0.6000
06/07/1974@09:00:00    0.7500    1.5200    1.0700    1.2900
06/07/1974@09:15:00    1.0000    1.8400    1.5000    1.6700
06/07/1974@09:30:00    1.2500    1.8900    1.5900    1.7400
06/07/1974@09:45:00    1.5000    1.8900    1.6100    1.7500
06/07/1974@10:00:00    1.7500    1.9600    1.6400    1.7700
06/07/1974@10:15:00    2.0000    1.9600    1.6400    1.8000
06/07/1974@10:30:00    2.2500    1.9600    1.6400    1.8000
06/07/1974@10:45:00    2.5000    1.9600    1.6400    1.8000
06/07/1974@11:00:00    2.7500    1.9600    1.6400    1.8000
06/07/1974@11:15:00    3.0000    1.9600    1.6400    1.8000
06/07/1974@11:30:00    3.2500    1.9600    1.6400    1.8000
06/07/1974@11:45:00    3.5000    1.9600    1.6400    1.8000
06/07/1974@12:00:00    3.7500    1.9600    1.6400    1.8000
06/07/1974@12:15:00    4.0000    1.9600    1.6400    1.8000
06/07/1974@12:30:00    4.2500    1.9600    1.6400    1.8000
06/07/1974@12:45:00    4.5000    1.9600    1.6400    1.8000
06/07/1974@13:00:00    4.7500    1.9600    1.6400    1.8000
06/07/1974@13:30:00    5.2500    1.9600    1.6400    1.8000
06/07/1974@14:00:00    5.7500    1.9600    1.6400    1.8000
06/07/1974@15:00:00    6.7500    1.9600    1.6400    1.8000
06/07/1974@16:00:00    7.7500    1.9600    1.6400    1.8000
06/07/1974@16:30:00    8.2500    2.1600    1.7400    1.9500
06/07/1974@17:00:00    8.7500    2.2900    2.4300    2.3600
06/07/1974@17:15:00    9.0000    2.9100    2.8800    2.8900
06/07/1974@17:30:00    9.2500    2.9500    2.9000    2.9200
06/07/1974@17:45:00    9.5000    2.9500    2.9500    2.9500
06/07/1974@18:00:00    9.7500    3.0400    3.0100    3.0200
06/07/1974@18:15:00    10.0000    3.0400    3.0100    3.0200
06/07/1974@18:30:00    10.2500    3.0400    3.0100    3.0200
06/07/1974@18:45:00    10.5000    3.0900    3.0100    3.0500
