# HYETOGRAPH FILE
# Filename=rain_sta08055700_1977_0612.dat
# site=08055700 Bachman Branch at Dallas, Texas
# latitude=32()51'37"  Location 5
# longitude=96()50'13"  Location 5
# drainage_area(mi2)=10.0
# DATE_TIME=date and time in MM/DD/YYYY@HH:MM
# PRECIP1=Gage 1-B raw recorded precipitation in inches
# PRECIP2=Gage 2-B raw recorded precipitation in inches
# ACCUM_WTD_PRECIP=weighted cumulative precipitation in inches
DATE_TIME    HOURS_PASSED    PRECIP1    PRECIP2    ACCUM_WTD_PRECIP
06/12/1977@16:15:00    0.0000    0.0000    0.0000    0.0000
06/12/1977@16:30:00    0.2500    0.0000    0.1500    0.0700
06/12/1977@16:45:00    0.5000    0.0000    0.4000    0.2000
06/12/1977@17:00:00    0.7500    0.2500    0.5000    0.3800
06/12/1977@17:15:00    1.0000    0.5500    0.9500    0.7500
06/12/1977@17:30:00    1.2500    1.0500    2.3000    1.6700
06/12/1977@17:45:00    1.5000    1.5000    3.2500    2.3800
06/12/1977@18:00:00    1.7500    1.9400    3.5700    2.7500
06/12/1977@18:15:00    2.0000    2.5000    3.6300    3.0600
06/12/1977@18:30:00    2.2500    2.6800    3.6400    3.1600
06/12/1977@18:45:00    2.5000    2.7000    3.6600    3.1800
06/12/1977@19:00:00    2.7500    2.7100    3.6900    3.2000
06/12/1977@19:15:00    3.0000    2.7200    3.7100    3.2100
06/12/1977@19:30:00    3.2500    2.7500    3.7200    3.2300
06/12/1977@19:45:00    3.5000    2.7600    3.7300    3.2400
06/12/1977@20:00:00    3.7500    2.7700    3.7500    3.2600
06/12/1977@20:15:00    4.0000    2.7800    3.7500    3.2600
06/12/1977@20:30:00    4.2500    2.7900    3.7600    3.2700
06/12/1977@20:45:00    4.5000    2.8000    3.7700    3.2800
06/12/1977@21:00:00    4.7500    2.8000    3.7700    3.2800
06/12/1977@21:15:00    5.0000    2.8100    3.7800    3.2900
06/12/1977@21:30:00    5.2500    2.8100    3.7900    3.3000
06/12/1977@21:45:00    5.5000    2.8100    3.7900    3.3000
06/12/1977@22:00:00    5.7500    2.8200    3.8000    3.3100
