# HYDROGRAPH FILE
# Filename=unit_sta08055700_1966_0617.dat
# site=08055700 Bachman Branch at Dallas, Texas
# latitude=32()51'37"
# longitude=96()50'13"
# drainage_area(mi2)=10.0
# DATE_TIME=date and time in MM/DD/YYYY@HH:MM
# RUNOFF=runoff in cubic feet per second
# ACCUM_RUNOFF=accumulated runoff in inches
DATE_TIME    HOURS_PASSED    RUNOFF    ACCUM_RUNOFF
06/17/1966@00:00:00    0.0000    4.0000    0.0015
06/17/1966@05:00:00    5.0000    3.4000    0.0030
06/17/1966@05:31:00    5.5167    3.3000    0.0032
06/17/1966@06:00:00    6.0000    6.3000    0.0037
06/17/1966@06:31:00    6.5167    56.0000    0.0080
06/17/1966@07:00:00    7.0000    680.0000    0.0466
06/17/1966@07:15:00    7.2500    955.0000    0.0848
06/17/1966@07:31:00    7.5167    1100.0000    0.1274
06/17/1966@07:45:00    7.7500    990.0000    0.1644
06/17/1966@08:00:00    8.0000    740.0000    0.2083
06/17/1966@08:31:00    8.5167    475.0000    0.2451
06/17/1966@09:00:00    9.0000    360.0000    0.2864
06/17/1966@10:00:00    10.0000    260.0000    0.3267
06/17/1966@11:00:00    11.0000    144.0000    0.3490
06/17/1966@12:00:00    12.0000    67.0000    0.3593
06/17/1966@13:00:00    13.0000    48.0000    0.3650
06/17/1966@13:31:00    13.5167    104.0000    0.3710
06/17/1966@13:45:00    13.7500    380.0000    0.3852
06/17/1966@14:00:00    14.0000    600.0000    0.4084
06/17/1966@14:15:00    14.2500    475.0000    0.4274
06/17/1966@14:31:00    14.5167    380.0000    0.4495
06/17/1966@15:00:00    15.0000    260.0000    0.4794
06/17/1966@16:00:00    16.0000    104.0000    0.4955
06/17/1966@17:00:00    17.0000    48.0000    0.5029
06/17/1966@18:00:00    18.0000    31.0000    0.5101
06/17/1966@20:00:00    20.0000    17.0000    0.5153
06/17/1966@22:00:00    22.0000    13.0000    0.5194
06/18/1966@00:00:00    24.0000    9.8000    0.5209
